b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
1044	417	198	81	1226	563	232	107	87	35
1345	471	254	91	1518	633	286	121	42	68
1	586	0	128	563	1156	105	253	1200	105
644	101	125	20	936	398	182	79	1124	207
617	779	116	157	942	1115	176	221	11	313
835	1029	163	211	1275	1451	253	300	1496	366
1275	1	253	0	1472	174	294	38	1496	367
26	303	6	66	139	411	31	90	1497	367
427	1084	84	226	930	1423	188	300	1501	368
1	308	0	64	162	476	32	98	1278	495
1355	1226	252	233	1561	1407	293	269	1623	739
1	1415	0	271	497	1557	101	300	1624	739
497	1	101	0	1191	741	232	140	1624	740
69	723	13	137	268	916	47	170	1625	740
643	11	121	2	1316	495	244	92	1631	741
26	1303	4	235	255	1517	50	277	1201	790
77	1003	15	196	347	1270	73	253	453	998
644	1213	130	234	869	1367	173	262	561	1003
764	830	156	168	1310	1116	273	230	618	1006
1	757	0	152	157	920	34	188	626	1006
791	1	164	0	971	181	198	34	492	1008
773	731	157	141	1434	976	284	185	894	1010
739	112	134	22	1061	349	199	71	892	1011
882	835	168	159	1533	1488	300	291	1118	1025
42	1	9	0	317	332	64	66	1119	1026
1297	158	241	33	1463	350	269	65	1510	1062
918	165	172	35	1190	513	218	96	1511	1062
575	783	115	149	1055	1008	210	194	1528	1063
367	274	73	49	487	396	99	75	1531	1063
1400	1088	277	209	1557	1244	300	232	1040	1082
1	1244	0	232	440	1623	80	300	1041	1082
405	1092	76	210	1012	1623	181	300	1274	1082
297	480	60	82	537	783	105	139	1577	1091
