b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
146	1	27	0	586	250	113	50	33	1616
1289	1326	271	268	1407	1439	294	290	131	1660
470	1116	98	228	802	1229	165	250	131	1682
875	1269	174	259	1145	1458	228	298	174	1695
96	1051	20	216	278	1222	58	252	102	1825
674	532	140	93	936	759	189	137	118	1995
335	1056	71	199	547	1264	114	241	145	3058
878	478	181	97	1090	672	221	131	194	3920
820	1267	162	226	1104	1647	216	295	216	8551
1417	391	267	82	1568	526	300	112	24	8554
983	488	201	99	1174	666	241	137	211	8610
1067	907	193	182	1402	1378	264	275	24	8623
871	838	184	170	1198	1149	257	235	213	8633
578	660	114	134	1004	1011	205	205	210	8634
586	769	117	148	1090	1376	221	266	194	8727
158	447	34	85	341	593	71	114	57	10727
