b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
1212	16	235	3	1423	231	275	47	84	19
856	330	168	70	1150	606	224	126	91	104
1202	653	234	134	1528	1139	300	236	91	105
173	199	31	40	996	1514	175	287	56	388
1017	101	180	20	1286	655	233	134	56	389
960	372	190	83	1462	983	299	213	29	402
1221	476	243	100	1492	872	300	183	23	418
1	872	0	183	386	1455	76	296	24	418
39	30	7	6	342	565	67	106	24	419
1309	493	271	98	1438	615	298	123	19	699
678	909	139	195	1038	1397	211	294	39	3056
30	755	6	155	269	943	56	194	7	4200
173	1291	31	248	455	1577	78	299	56	4251
462	1	79	0	1101	1293	196	250	56	4252
1021	1	181	0	1286	266	233	56	56	4253
265	158	54	31	731	574	153	119	78	4941
