b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
1418	686	251	123	1651	919	300	172	8	104
252	1	42	0	742	441	124	74	8	104
1	919	0	172	800	1612	147	300	9	104
800	1	147	0	1626	823	300	153	9	105
6	823	1	153	759	1557	150	299	10	105
767	7	151	1	1524	772	300	154	10	106
1	772	0	154	740	1521	145	300	11	106
740	1	145	0	1527	895	300	177	11	107
1	895	0	177	540	1479	114	300	12	107
540	1	114	0	878	286	177	53	12	108
317	1158	68	210	725	1568	152	293	13	108
356	803	65	141	776	1148	141	203	20	110
543	974	104	185	801	1229	151	231	45	118
422	777	84	149	730	1040	144	202	83	133
730	388	144	70	1525	1157	300	222	83	135
1	1157	0	222	379	1529	79	299	84	135
384	1	80	0	957	538	193	106	84	136
1334	441	267	90	1505	619	300	124	87	131
1293	575	251	115	1548	816	299	160	89	136
329	380	64	75	669	669	131	130	90	143
244	1184	45	219	720	1656	128	300	106	163
720	1	128	0	1683	967	300	173	106	164
1	967	0	173	721	1673	130	300	107	164
721	1	130	0	1171	434	212	79	107	165
900	892	174	161	1564	1532	300	286	108	166
69	1	12	0	1463	1430	270	264	109	167
