b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
1	1130	0	239	290	1433	59	300	287	25
238	1118	44	219	696	1513	137	300	101	59
696	1	137	0	1506	704	300	141	101	60
5	715	1	144	206	918	39	182	102	60
765	462	152	102	1245	764	249	167	108	70
1068	687	215	142	1436	884	286	181	134	72
620	1181	116	218	1015	1576	188	300	194	77
1390	6	261	1	1604	263	300	51	194	78
1	263	0	51	220	482	39	91	195	78
376	627	74	129	898	1182	182	247	133	80
199	786	41	163	430	1012	91	212	889	84
1135	504	217	106	1456	879	282	182	821	95
636	163	123	35	1052	508	212	107	96	96
41	1	7	0	888	1053	172	209	843	105
976	449	195	91	1350	828	271	171	356	109
972	64	185	12	1267	650	240	128	357	111
1	140	0	28	408	546	81	110	942	178
1163	446	230	80	1495	705	297	132	101	186
5	958	1	188	284	1194	54	234	111	187
1096	443	220	87	1436	615	286	121	134	188
952	609	190	126	1228	876	242	177	115	189
1	110	0	21	428	553	87	110	287	196
542	733	105	142	792	1002	158	199	103	199
503	733	100	142	754	1002	153	199	949	199
976	342	195	70	1350	721	271	150	356	202
972	757	185	152	1146	922	219	186	357	205
