b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
1224	1357	244	253	1459	1590	291	300	512	6
1236	35	237	8	1437	251	275	49	516	31
140	1355	32	259	299	1517	66	293	528	12
609	64	126	13	760	276	156	56	528	13
376	1256	74	246	674	1514	135	300	530	134
674	0	135	0	1391	598	284	124	530	135
112	679	22	132	277	792	55	155	530	152
514	785	106	162	991	1237	207	257	531	135
78	679	16	132	183	786	37	154	533	152
785	735	161	136	1138	1062	229	198	542	133
23	585	5	114	439	938	88	183	543	134
18	769	4	148	334	1153	69	229	551	140
997	645	213	128	1426	1045	300	209	552	142
364	1349	76	267	596	1503	125	300	562	151
234	1073	49	211	654	1373	138	275	2099	7
13	1385	3	274	144	1514	29	300	2100	5
812	461	166	84	944	594	193	111	2124	61
283	461	56	84	423	594	84	111	2126	61
52	735	11	136	411	1070	81	200	3114	133
371	948	73	198	537	1121	105	231	3428	135
837	679	165	132	942	786	186	154	3428	152
526	0	105	0	700	166	142	34	3680	135
