b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
1087	458	216	91	1299	683	258	135	226	62
1169	693	232	127	1538	1053	299	193	337	1056
0	809	0	156	259	1082	50	210	419	75
1026	763	210	153	1479	1183	300	234	419	87
737	937	151	169	1359	1465	271	271	736	689
418	512	86	103	667	781	132	155	744	690
775	291	151	57	1080	525	211	105	790	752
890	804	173	153	1080	992	211	191	790	764
256	651	45	121	458	902	80	165	993	1000
136	1365	25	261	398	1599	69	300	1100	898
398	0	69	0	853	285	153	54	1100	899
0	508	0	96	381	892	74	171	1149	957
1001	5	192	1	1258	267	242	51	1167	455
616	1292	122	232	895	1521	179	278	1264	994
1461	17	264	3	1613	169	292	31	1312	1032
1206	1076	219	194	1613	1497	292	270	1312	1045
767	0	149	0	1431	533	285	109	1362	1247
390	483	77	92	996	1247	199	249	1364	1252
853	0	162	0	1554	556	300	108	1373	1268
171	1170	33	228	521	1528	102	299	1427	1312
512	0	100	0	713	202	138	39	1427	1313
774	1159	159	224	1057	1453	215	283	1609	1284
864	400	181	73	1456	977	300	188	1692	682
126	1285	23	227	241	1400	44	248	1809	1515
197	380	41	80	456	585	99	127	2175	153
585	289	124	57	815	605	171	119	2407	149
96	1298	19	247	475	1566	93	300	2447	47
475	0	93	0	1277	742	248	142	2447	48
98	797	19	153	751	1160	149	226	2448	48
651	1277	139	252	914	1491	197	299	2452	87
487	289	101	55	614	434	129	87	2554	45
1283	0	260	0	1463	221	298	46	2865	185
0	250	0	52	267	468	56	98	2866	185
221	423	42	81	493	661	94	126	3426	204
1132	166	225	31	1261	297	253	59	3855	247
72	919	15	174	549	1285	113	251	3867	396
717	403	138	77	1538	1011	300	197	3879	483
0	1011	0	197	118	1149	26	227	3880	483
689	537	138	93	897	739	178	131	3882	1914
1280	6	243	1	1568	239	300	46	3900	964
