b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
67	1117	12	226	343	1409	71	287	52	6081
777	988	157	196	1059	1267	212	252	181	5628
1045	596	206	123	1433	984	279	196	200	1406
782	1219	163	255	1043	1444	216	300	239	455
733	1085	143	223	996	1360	197	279	368	5358
125	42	24	8	268	185	53	36	398	329
1	1048	0	215	376	1467	74	298	405	1435
1230	1053	242	214	1428	1291	278	257	406	2699
1003	158	201	32	1488	667	300	136	425	5282
1003	1074	201	219	1394	1466	281	299	425	5627
1286	434	247	90	1542	695	300	145	442	1492
1	695	0	145	225	940	46	197	443	1492
551	24	115	6	1282	881	266	184	447	1525
892	54	171	11	1142	287	222	59	448	2302
432	264	84	60	1008	934	199	198	451	2295
1008	889	199	163	1516	1536	299	296	451	2296
35	31	7	8	310	465	64	99	452	2297
1280	350	255	72	1514	587	300	118	452	2445
1318	550	245	118	1586	833	296	173	453	2302
1294	564	241	120	1586	868	296	179	453	2391
44	1	7	0	426	362	80	67	463	2384
894	521	183	100	1034	817	214	161	465	1561
381	13	70	3	724	396	137	80	470	2130
191	54	38	11	452	307	91	64	473	2302
677	747	139	160	1243	1381	258	295	477	2297
1	316	0	65	988	1509	196	299	478	2298
447	78	92	16	1245	697	249	139	479	2299
354	58	67	11	1102	935	219	188	482	2452
963	337	185	71	1164	537	223	109	500	323
676	695	135	141	1005	1024	199	205	503	2355
1	214	0	37	904	907	168	168	505	2380
205	119	43	23	397	316	78	59	506	2376
1237	570	232	110	1576	781	300	151	525	2136
1	781	0	151	431	1219	85	238	526	2136
431	86	85	18	1492	765	294	157	526	2137
693	778	134	167	1242	1300	244	271	526	2140
1	734	0	158	372	1413	78	300	527	2306
372	1	78	0	1321	948	277	199	527	2307
858	1	175	0	983	127	198	23	528	2442
1158	359	222	73	1532	734	300	152	631	1405
1	734	0	152	722	1462	147	300	632	1405
722	1	147	0	1480	760	300	154	632	1406
1	760	0	154	225	984	42	196	633	1406
276	1235	50	248	544	1483	108	300	634	1406
537	1	106	0	820	289	166	61	634	1407
637	665	129	136	861	916	172	183	637	1406
893	543	169	111	1059	728	201	148	641	1406
203	400	40	81	833	1036	165	209	708	2354
954	346	162	68	1607	1196	286	239	729	4346
1	129	0	26	341	599	63	114	730	4347
740	307	140	64	1011	582	193	121	783	3053
1035	512	205	107	1395	872	272	174	886	2222
717	416	141	79	1002	701	198	136	886	2237
32	896	7	191	243	1123	52	241	892	5383
474	1028	92	209	1018	1486	200	300	921	1400
620	743	128	145	785	1155	162	230	926	2195
743	568	155	117	841	666	177	139	928	184
534	276	111	57	1298	1038	274	218	928	1402
1026	760	201	162	1463	1175	297	253	945	333
1026	45	201	9	1469	554	298	121	945	5308
790	821	161	176	1318	1248	270	264	946	1653
468	868	88	177	654	1058	127	217	948	2323
8	954	1	185	656	1602	117	300	953	4800
656	1	117	0	1380	754	267	156	953	4801
1058	304	210	59	1498	957	292	179	1215	4378
246	393	53	83	597	719	124	148	1430	5462
928	437	187	80	1169	676	237	128	1446	6129
565	279	109	59	983	1024	193	217	1701	382
430	1051	90	205	806	1410	167	278	1702	2043
412	969	82	200	559	1117	113	231	1704	1777
832	845	159	176	1224	1247	242	259	1714	5400
1147	189	247	42	1402	443	300	95	1718	2041
1	443	0	95	779	1225	164	261	1719	2041
1015	740	211	146	1216	924	252	183	1723	6171
850	790	166	160	1005	987	201	204	1726	1652
1198	294	232	57	1340	706	261	142	1729	1659
994	681	201	142	1198	895	239	182	1733	5467
426	142	85	25	926	640	184	123	1734	2043
22	297	4	60	222	474	43	95	1734	2052
1	472	0	100	125	593	26	126	1735	1425
738	1160	147	216	1146	1553	231	298	1892	6139
180	856	37	177	696	1374	138	280	1958	5574
660	1162	125	225	788	1296	152	254	1963	2962
1081	444	213	93	1487	854	300	181	1980	2039
1	854	0	181	572	1433	117	300	1981	2039
572	1	117	0	833	261	164	46	1981	2040
254	1296	54	264	357	1489	75	300	2044	528
708	617	148	130	1234	1148	261	244	2044	1779
241	172	44	33	445	376	84	73	2082	1281
640	1286	125	258	872	1490	169	299	2099	214
488	268	101	58	1102	872	234	189	2101	215
466	95	96	20	1017	602	215	127	2101	5629
109	895	23	184	523	1301	109	266	2108	5349
265	11	55	2	507	231	105	46	2108	5351
719	1185	147	235	1022	1486	213	300	2114	1603
1022	1	213	0	1145	127	240	28	2114	1604
269	1	58	0	425	127	92	28	2115	1604
458	564	81	112	677	789	123	155	2221	1651
22	476	4	101	149	593	31	126	2261	1425
902	1046	182	209	1237	1431	249	288	2271	5701
