b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
870	499	172	90	996	625	195	113	405	4908
1196	845	243	164	1311	958	266	187	1567	1923
240	448	47	85	499	708	95	134	1584	4071
618	1161	119	214	983	1460	196	278	1597	1974
857	320	178	67	1007	492	210	103	1735	852
13	1321	3	248	334	1572	71	300	1909	2685
627	1081	135	205	1008	1443	210	277	2133	2565
982	739	194	145	1223	1035	245	206	2370	6245
965	1167	177	241	1176	1379	213	277	2477	1349
965	151	177	29	1176	409	213	73	2477	1850
965	16	177	3	1176	255	213	45	2477	2496
677	1025	135	207	829	1178	168	240	2616	1328
778	894	153	172	1205	1320	242	261	2687	6008
1275	462	255	89	1495	692	297	133	2700	6008
328	482	62	100	672	815	130	166	2703	3620
328	168	62	36	776	607	152	123	2703	3637
311	913	59	188	776	1371	152	279	2703	3651
572	1205	110	241	852	1485	166	298	2785	2736
266	243	50	43	445	445	87	86	2969	721
721	1224	144	236	865	1365	178	269	3364	1775
237	186	43	39	562	515	115	108	3375	852
233	890	42	173	356	1028	70	204	3375	1775
1318	1299	240	252	1538	1429	287	282	3632	856
531	389	106	70	786	584	156	107	3665	1812
553	932	102	175	717	1179	131	213	3740	2140
