b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
82	407	15	83	242	585	47	117	1512	106
456	1279	92	247	577	1400	119	274	1521	104
1220	925	246	183	1481	1126	300	225	1559	106
413	1015	84	201	706	1273	139	251	1560	107
634	1297	119	263	808	1458	157	300	1563	91
832	5	162	1	992	165	195	34	1563	92
302	317	59	62	499	520	95	100	1584	112
479	5	99	1	660	176	137	37	1990	92
518	885	105	186	1034	1453	206	297	2013	96
1212	314	231	66	1493	616	288	127	2441	13
560	42	117	9	854	325	177	68	2442	13
1083	577	215	111	1514	869	300	172	2446	9
224	1194	47	242	487	1468	104	300	2452	11
827	235	155	47	1510	919	294	190	2936	25
1298	612	263	126	1482	825	300	169	3311	30
1313	156	270	28	1464	313	300	58	3382	97
6	807	1	168	604	1330	127	274	3475	26
25	353	5	73	443	781	95	162	3475	26
