b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
827	177	158	35	1091	456	212	93	35	2382
895	958	183	197	1327	1455	271	300	51	2173
145	308	25	60	507	674	107	141	67	129
1144	1007	230	211	1339	1297	269	267	81	5
7	789	1	159	463	1304	95	264	82	21
55	1	11	0	322	320	65	62	83	22
486	177	98	35	741	446	151	91	85	2382
504	985	95	206	711	1210	137	250	87	1251
440	325	90	67	1012	974	204	202	203	2427
620	607	125	121	1060	1450	217	298	208	2394
696	166	139	34	1057	529	207	104	209	153
1311	1151	257	235	1531	1374	300	279	239	1052
647	402	128	75	927	766	185	153	333	2326
499	733	99	151	641	875	127	179	333	2334
35	340	7	69	290	534	62	111	334	2331
832	190	155	39	1318	697	249	139	341	153
