b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
322	306	67	62	856	893	177	183	116	41
1254	1151	250	231	1488	1368	298	276	157	54
878	1055	176	220	1044	1216	212	256	227	946
1203	0	234	0	1496	323	295	67	252	103
1159	285	226	54	1401	543	276	105	252	113
1367	0	264	0	1542	192	300	40	258	103
1330	285	257	54	1542	538	300	104	258	113
1245	298	252	58	1473	506	300	102	298	122
1154	235	241	49	1309	392	276	86	722	322
984	605	202	118	1162	774	238	153	1544	579
645	493	138	103	930	744	201	158	1922	478
1184	1043	241	215	1487	1324	298	265	2173	583
