b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
1043	243	206	47	1290	585	256	117	1	476
738	585	145	117	1095	912	216	182	2	476
1	358	0	70	378	780	78	155	204	502
58	1	11	0	834	959	156	177	324	533
626	1	115	0	1378	959	255	177	353	533
56	825	11	158	717	1529	142	299	373	534
722	5	143	1	1482	1078	300	223	373	535
583	1037	116	213	1209	1248	233	255	385	536
1077	1131	209	214	1190	1249	235	241	392	449
624	1124	121	218	838	1357	165	266	394	538
712	138	135	24	1446	801	277	153	419	543
476	160	80	28	794	535	144	105	469	135
72	1	15	0	352	360	75	77	511	559
547	553	105	111	922	986	179	195	524	147
1134	99	214	21	1274	243	243	51	536	566
648	837	130	165	979	1234	193	238	557	577
358	752	68	141	930	1172	176	218	558	579
155	515	31	103	568	1482	110	293	559	580
583	29	113	6	1206	654	256	149	559	581
636	648	122	129	1367	1335	257	259	565	582
677	795	139	160	896	1016	185	206	640	70
1024	482	198	96	1410	1129	268	220	662	186
957	149	182	29	1401	751	265	137	678	611
124	371	25	78	366	640	75	132	679	612
180	283	39	53	544	647	112	127	713	80
563	1023	108	206	888	1279	171	254	752	618
1139	133	216	26	1487	479	280	92	753	619
642	35	123	6	1121	789	214	141	767	123
900	28	174	6	1314	482	250	92	788	215
