b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
718	166	146	32	1358	785	280	160	1012	2854
849	831	175	163	1040	1011	210	196	827	3447
970	663	185	129	1265	928	247	186	746	4337
1106	668	218	130	1397	928	279	186	755	4337
198	1235	41	239	538	1525	111	300	1166	4402
316	511	66	98	1201	1362	251	275	1775	4461
974	1008	186	203	1262	1233	246	252	746	4535
1094	983	216	198	1394	1233	278	252	755	4535
232	205	48	42	416	383	84	77	409	5264
572	71	115	14	1157	521	234	100	1760	6253
898	944	182	192	1465	1505	293	300	1761	6268
6	46	1	9	1484	1597	278	300	1762	6269
936	1297	190	256	1187	1543	235	300	1761	6270
11	124	2	26	913	1111	183	221	1763	6270
0	157	0	29	1562	1082	295	206	1762	6271
11	1134	2	216	604	1550	124	300	1763	6271
441	20	88	5	857	430	171	85	1763	6272
974	269	186	52	1262	533	246	108	746	6864
1094	257	216	50	1394	533	278	108	755	6864
0	605	0	110	391	959	88	190	758	8826
970	279	185	56	1262	550	246	113	746	9696
1106	284	218	57	1394	550	278	113	755	9696
0	918	0	172	985	1544	197	300	1640	10137
985	0	197	0	1518	447	299	87	1640	10138
11	454	3	88	371	721	72	137	1641	10138
873	756	180	143	1128	982	233	189	1642	10138
562	423	122	84	675	555	147	112	146	10174
618	890	133	182	888	1114	195	233	653	10174
158	880	34	162	343	1031	76	196	1694	10232
436	422	90	81	1514	1350	298	266	1640	10255
340	978	65	192	559	1137	106	220	1588	10277
69	277	13	54	420	692	80	134	1588	10278
988	446	200	88	1492	870	300	172	1590	10352
982	359	213	70	1252	707	269	139	1644	10756
902	625	183	128	1498	1435	300	282	1761	11580
7	79	2	14	850	779	171	155	1759	11582
0	1097	0	220	349	1491	69	299	1760	11582
1051	587	208	114	1521	1100	300	213	1768	11785
0	1100	0	213	335	1520	69	296	1769	11785
347	4	71	1	1431	1061	300	223	1769	11786
965	821	196	164	1498	1200	300	232	1761	11791
0	1200	0	232	470	1540	88	296	1762	11791
1014	516	216	99	1248	787	262	154	1723	11805
673	0	135	0	1157	650	234	130	1760	11814
38	855	8	172	378	1250	75	249	1739	11819
187	833	39	161	760	1414	152	280	1166	12902
0	247	0	52	1201	1205	248	244	1167	12903
852	738	173	141	1230	1055	255	212	1590	12936
372	130	84	25	632	443	132	84	1591	12960
852	40	173	8	1230	365	255	80	1590	12961
1268	443	224	81	1633	814	300	158	1598	12979
0	814	0	158	821	1637	139	300	1599	12979
821	0	139	0	1801	1020	300	168	1599	12980
0	1020	0	168	771	1795	128	300	1600	12980
793	7	131	1	1710	950	300	175	1600	12981
0	950	0	175	662	1615	122	300	1601	12981
662	0	122	0	1670	1049	300	185	1601	12982
0	1049	0	185	639	1671	117	300	1602	12982
639	0	117	0	1707	1078	300	186	1602	12983
0	1062	0	184	608	1688	111	300	1603	12983
608	0	111	0	1703	1139	300	199	1603	12984
0	1139	0	199	217	1349	37	235	1604	12984
