b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
105	219	19	44	906	994	167	187	1	49
1061	883	217	152	1391	1208	285	219	5	182
933	1284	202	262	1059	1403	229	287	113	180
1185	711	243	148	1460	985	296	202	119	180
1294	847	261	176	1481	1083	300	223	310	180
1106	0	222	0	1366	481	275	100	310	180
0	1083	0	223	255	1301	51	265	311	180
746	0	164	0	1372	625	300	136	338	183
0	625	0	136	244	863	52	188	339	183
660	870	139	189	1163	1377	247	300	342	183
561	609	113	112	781	826	156	155	410	154
1346	1031	279	189	1449	1131	300	210	458	381
638	693	130	142	829	846	165	170	588	36
141	367	28	75	871	1460	175	299	588	37
855	19	171	4	1259	424	246	80	588	38
1037	0	220	0	1227	190	259	39	589	37
315	439	66	83	1299	1171	262	230	661	184
922	93	195	17	1371	499	287	100	861	238
494	403	103	83	809	689	165	142	1034	187
163	403	34	83	498	689	102	142	1046	187
242	842	51	158	1140	1555	238	300	1265	243
1140	0	238	0	1392	252	288	51	1265	244
156	917	33	172	471	1238	97	238	1491	207
638	752	131	153	939	1095	192	227	1691	121
1226	340	252	68	1451	571	300	117	1691	242
132	555	27	102	365	823	72	153	1692	5
0	434	0	83	849	1050	173	205	1692	192
0	603	0	124	359	1046	71	213	1692	242
873	0	182	0	1433	560	300	119	1693	122
0	560	0	119	628	1074	137	233	1694	122
783	995	161	215	1147	1394	235	299	1695	122
1140	0	233	0	1294	165	264	34	1695	123
561	7	121	1	970	458	210	102	1724	186
95	776	22	166	712	1408	153	300	1725	185
89	336	20	65	221	492	46	96	1744	153
1298	685	269	140	1435	819	300	170	1749	244
704	462	148	85	1123	895	234	175	1750	222
617	1258	132	238	857	1509	175	283	1755	191
1234	282	253	53	1465	500	300	97	1755	192
1175	372	239	75	1461	667	299	137	1755	242
123	555	24	102	355	817	69	152	1756	5
71	509	14	99	349	785	68	153	1756	192
744	745	144	137	988	938	192	173	1756	208
0	676	0	140	734	1488	142	300	1756	242
734	0	142	0	1557	807	297	152	1756	243
114	0	24	0	315	203	62	38	1757	192
1269	1178	270	231	1401	1319	297	259	1821	184
366	776	82	166	626	1159	133	249	1930	185
