b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
1	108	0	23	462	583	88	115	4	2096
417	178	80	37	1089	945	218	203	110	2012
330	244	66	50	610	483	131	105	148	972
283	327	56	70	759	793	163	175	148	2042
324	1300	66	269	448	1419	91	293	182	2057
325	981	64	207	464	1122	93	237	189	2065
547	150	107	31	870	425	176	90	230	2075
417	1090	80	215	606	1363	119	273	230	2155
245	1	46	0	1442	1186	300	247	234	1616
252	10	56	2	1442	1123	300	232	235	1617
707	875	152	179	1093	1288	235	269	285	2337
1	493	0	103	456	919	96	192	361	1595
1307	95	255	20	1502	262	300	59	379	549
215	365	45	70	443	573	91	112	517	2795
705	899	144	182	1109	1357	231	281	535	1049
233	775	47	158	702	1191	146	246	590	1621
938	214	179	46	1473	910	291	191	599	2826
