b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
373	938	66	189	690	1256	121	245	26	3275
1276	1	249	0	1467	192	287	38	28	1267
1273	1122	248	224	1474	1323	288	264	28	1630
588	483	107	94	709	604	132	119	29	3615
822	1037	154	205	1048	1263	195	246	29	3670
736	298	136	63	1030	592	190	117	30	1759
461	494	82	96	635	663	117	131	30	4319
1178	405	221	85	1489	804	279	162	33	4027
1253	557	235	103	1462	1284	274	237	33	4028
742	1102	141	227	1085	1461	205	294	34	560
1	637	0	133	343	1104	64	223	34	4967
312	1314	61	243	487	1473	94	273	35	2148
579	959	118	181	971	1267	191	240	36	976
604	94	123	21	837	426	166	82	36	1647
1309	938	243	189	1626	1256	298	245	37	3275
1007	483	193	94	1130	604	219	119	38	3615
1320	67	255	13	1476	223	281	39	38	4734
1320	392	255	69	1476	732	281	129	38	4740
66	1144	12	217	298	1376	58	263	40	4724
66	487	12	92	298	1171	58	222	40	4725
689	1064	122	205	909	1284	164	246	43	2654
213	1303	37	250	378	1469	70	284	58	1859
796	924	152	187	1127	1256	210	245	58	3275
357	1052	66	203	580	1277	109	249	58	4180
213	280	37	52	370	438	69	85	58	4347
410	1314	80	243	622	1452	120	269	220	2148
1225	42	227	7	1565	385	289	69	252	1343
474	1	96	0	865	392	171	75	253	1024
763	553	147	110	1255	980	248	197	254	1647
153	5	31	1	353	192	71	38	342	1267
153	1129	31	226	369	1328	74	265	342	1630
1375	1090	267	209	1503	1218	288	230	381	3419
1022	483	203	94	1143	604	228	119	396	3615
921	706	175	145	1243	1027	236	206	403	1646
