b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
1208	1067	231	194	1570	1415	300	264	66	7
0	1415	0	264	202	1601	38	300	67	7
202	0	38	0	768	538	146	107	67	8
0	844	0	168	609	1486	124	299	77	21
625	0	127	0	818	196	166	40	77	22
444	232	87	43	818	599	166	120	77	28
4	50	1	9	354	365	75	78	65	37
739	0	140	0	988	272	192	58	94	40
14	536	2	107	1032	1261	202	252	76	192
832	957	151	181	1603	1366	297	259	54	219
838	295	172	60	1456	767	300	157	119	233
977	1057	189	216	1402	1445	279	300	127	233
1005	827	196	162	1411	1271	281	256	127	234
