b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
263	1087	54	194	365	1189	76	216	1391	30
953	1301	192	251	1187	1545	240	297	1486	86
932	607	178	122	1228	880	238	179	239	122
1	595	0	119	353	880	77	179	240	122
945	137	192	28	1146	340	233	70	254	174
1219	429	240	88	1472	596	294	125	243	176
446	617	97	120	681	881	147	173	240	250
1023	1016	212	205	1348	1454	279	294	253	285
479	960	101	187	665	1133	141	224	260	291
1261	689	249	142	1508	943	300	192	243	292
1222	158	241	30	1508	427	300	85	243	324
1053	1127	218	229	1336	1457	276	296	253	345
1073	994	214	200	1383	1323	274	264	4257	378
1261	778	249	154	1472	971	294	194	243	389
1236	1002	239	200	1446	1305	283	262	248	396
16	401	3	75	712	694	136	133	130	397
796	1325	159	260	919	1436	186	284	151	397
377	1100	77	220	641	1352	131	271	249	398
865	287	184	54	1136	630	243	131	260	404
116	224	24	42	522	467	112	94	4253	405
1	242	0	54	507	818	99	169	331	417
1086	649	217	130	1383	892	274	177	4257	423
1261	639	249	125	1472	836	294	166	243	428
996	100	192	19	1257	361	249	76	330	433
969	639	197	130	1214	916	248	187	254	439
1047	708	217	141	1367	1052	283	211	253	440
1255	184	246	36	1528	454	300	90	255	440
1	459	0	91	178	657	37	132	256	440
13	1218	3	241	269	1492	51	292	4256	440
1261	1039	249	204	1508	1288	300	255	243	442
73	1099	15	211	474	1489	98	292	2803	443
395	435	80	81	542	577	110	110	244	587
253	26	52	4	365	139	76	28	1391	605
1143	261	214	49	1352	737	257	139	1173	682
253	1235	52	230	365	1348	76	254	1391	694
