b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
836	1272	150	225	1175	1471	212	263	580	200
471	939	84	172	706	1531	128	282	232	256
1157	170	198	30	1729	375	295	64	1031	272
81	218	16	41	215	731	39	126	589	343
94	789	17	144	345	1131	67	209	104	383
669	581	121	105	1203	1131	229	209	112	383
801	663	154	119	1174	1131	228	209	113	383
113	561	26	101	550	1131	113	209	115	383
1251	656	223	118	1655	1089	300	201	341	383
198	677	33	122	693	1208	133	222	392	383
0	424	0	77	790	986	133	176	394	421
434	459	80	81	963	949	173	165	589	463
9	1389	2	241	216	1609	48	290	115	506
1100	1389	191	241	1297	1609	233	290	341	506
255	975	47	190	667	1565	122	292	342	507
1002	74	194	19	1213	383	242	83	104	508
1072	0	211	0	1355	383	276	83	111	508
731	0	138	0	1063	478	213	100	117	508
0	133	0	31	232	428	49	91	262	508
976	74	179	19	1399	459	265	97	340	508
9	441	2	82	184	641	41	127	115	509
83	692	16	134	895	1607	163	300	342	509
895	0	163	0	1549	1003	286	183	342	510
1002	1248	194	239	1213	1512	242	295	104	514
994	1080	195	202	1355	1512	276	295	111	514
653	1080	122	202	1026	1521	206	297	117	514
1187	967	230	182	1545	1307	300	251	261	514
0	1307	0	251	232	1537	49	300	262	514
976	1248	179	239	1341	1496	254	291	340	514
232	0	49	0	1616	1230	300	225	262	515
0	1230	0	225	446	1676	74	300	263	515
446	0	74	0	1319	884	226	156	263	516
491	843	94	149	1400	1740	247	300	264	516
1400	0	247	0	1723	324	300	53	264	517
0	324	0	53	1470	1786	248	300	265	517
1470	0	248	0	1779	310	300	51	265	518
0	310	0	51	1082	1326	196	236	266	518
1257	929	242	178	1520	1105	294	209	261	523
1338	0	229	0	1715	377	300	71	263	523
0	377	0	71	491	868	94	166	264	523
193	95	38	18	796	627	144	107	264	524
1251	250	211	46	1703	635	286	113	265	542
1191	818	205	138	1347	974	232	164	317	543
857	400	159	80	1121	690	213	139	109	733
1255	304	244	58	1536	649	300	131	110	733
468	400	89	80	732	690	143	139	111	733
263	400	42	80	535	690	97	139	335	733
1109	354	192	68	1617	690	293	139	341	733
914	296	166	56	1230	703	230	141	344	733
51	257	9	48	591	690	113	139	392	733
938	186	170	35	1634	861	302	173	407	733
0	861	0	173	708	1568	127	300	408	733
708	0	127	0	1646	939	300	173	408	734
114	961	22	177	332	1179	62	217	409	734
